token_symbol,token_quote_symbol,token_name,price,txns,makers,volume,five_min,one_hour,six_hour,twenty_four_hour,liquidity,fdv,datetime
SLOW,mSOL,Slow Protocol,$0.006480,"121,764",$4.6K,2,0%,-0.36%,2.06%,2.36%,$11K,$135K,2023-07-12 16:34:59.556104
WETH,USDC,Wrapped Ether,"$1,896.26","80,716",$9.5M,"47,669",-0.02%,0.46%,0.45%,1.24%,$61.0M,$41.8M,2023-07-12 16:34:59.558177
SOL,USDC,Wrapped SOL,$22.58,"33,662",$775K,"2,378",0.08%,-0.11%,2.65%,2.81%,$47K,-,2023-07-12 16:34:59.560197
WBNB,USDT,Wrapped BNB,$246.50,"25,986",$3.5M,"13,315",-0.04%,-0.11%,-0.72%,-0.12%,$37.7M,$564.7M,2023-07-12 16:34:59.562210
WBNB,USDT,Wrapped BNB,$246.13,"20,355",$9.4M,"13,111",-0.06%,-0.46%,-0.80%,-0.14%,$306K,$565.2M,2023-07-12 16:34:59.564115
WETH,USDC,Wrapped Ether,"$1,894.55","19,911",$1.3M,"14,594",-0.03%,0.15%,0.64%,1.13%,$6.5M,$41.8M,2023-07-12 16:34:59.565895
RWT,USDT,RevaLink Wallet Token,$6.90,"15,592",$21.4M,"3,951",0.05%,-0.66%,-2.58%,3.06%,$24.3M,$44.19B,2023-07-12 16:34:59.567666
ETX,USDC,Ethrix,$0.4034,"15,539",$159K,191,-0.42%,-0.38%,1.67%,-18.25%,$26K,$40.3M,2023-07-12 16:34:59.569435
WETH,USDC,Wrapped Ether,"$1,893.18","15,496",$1.5M,"11,518",0.01%,0.35%,0.62%,1.17%,$17.6M,$41.7M,2023-07-12 16:34:59.571200
WETH,USDC,Wrapped Ether,"$1,898.51","14,335",$2.4M,"10,940",0.39%,0.75%,0.36%,1.32%,$16.5M,$42.4M,2023-07-12 16:34:59.572794
WMATIC,USDC,Wrapped Matic,$0.7405,"13,650",$14.3M,"6,855",0.09%,-0.12%,0.78%,0.10%,$7.3M,$103.1M,2023-07-12 16:34:59.574379
WETH,USDC,Wrapped Ether,"$1,895.37","13,206",$4.6M,"8,946",0.06%,0.26%,0.40%,1.34%,$6.4M,$41.8M,2023-07-12 16:34:59.575967
SOL,USDC,Wrapped SOL,$22.59,"11,695",$8.0M,"1,318",0.11%,-0.03%,2.74%,2.90%,$2.0M,-,2023-07-12 16:34:59.577556
WBNB,BUSD,Wrapped BNB,$246.74,"10,959",$1.2M,"6,973",-0.01%,0%,-0.58%,-0.08%,$25.2M,$565.2M,2023-07-12 16:34:59.579141
OSMO,USDC,Osmosis,$0.4928,"10,485",$2.0M,866,0.02%,-0.11%,-0.54%,-0.17%,$10.5M,$492.8M,2023-07-12 16:34:59.580572
USDT,WETH,Tether USD,$1.00,"9,516",$788K,"5,771",0.01%,-0.06%,0.06%,0.03%,$1.9M,$5.8M,2023-07-12 16:34:59.582005
WETH,USDC,Wrapped Ether,"$1,895.53","9,217",$61.1M,"3,584",0.07%,0.09%,0.36%,1.28%,$48.5M,$583.6M,2023-07-12 16:34:59.583448
WFLOKI,WBNB,Wrapped Floki,$0.001682,"9,199",$1.8M,138,0.71%,9.56%,69.35%,69.35%,$57K,$1.6M,2023-07-12 16:34:59.584880
GETH,WETH,Goerli ETH,$0.1265,"8,593",$10K,"8,111",-0.34%,-0.15%,-1.27%,1.77%,$76K,$94K,2023-07-12 16:34:59.586312
WETH,USDC,Wrapped Ether,"$1,894.14","8,509",$2.2M,"5,858",0.02%,0.24%,0.48%,1.28%,$1.7M,$42.3M,2023-07-12 16:34:59.587748
FLIP,WETH,Chainflip,$0.005169,"8,352",$194,"7,500",-1.65%,-22.52%,-6.84%,5.12%,$67,$463K,2023-07-12 16:34:59.589179
USDT,USDC,Tether USD,$2.08,"8,020",$2.1M,"4,772",-0.02%,-0.44%,1.03%,-0.07%,$10.3M,$12.1M,2023-07-12 16:34:59.590488
WETH,USDT,Wrapped Ether,"$1,895.47","7,525",$27.6M,"3,081",0.07%,0.11%,0.36%,1.26%,$17.3M,$583.6M,2023-07-12 16:34:59.591799
WETH,USDC,Wrapped Ether,"$1,895.80","7,515",$8.3M,"4,420",0.04%,0.12%,0.36%,1.34%,$6.5M,$121.2M,2023-07-12 16:34:59.593118
USDC,USDT,USD Coin (PoS),$0.9999,"7,430",$3.5M,"4,344",0%,0%,0%,0%,$2.1M,$643.0M,2023-07-12 16:34:59.594430
WETH,USDC,Wrapped Ether,"$1,896.29","7,423",$11.9M,"1,376",0.09%,0.15%,0.39%,1.28%,$10.8M,$409.9M,2023-07-12 16:34:59.595738
PUGAI,USDC,PUGAI,$0.096696,"7,204",$16K,700,-0.03%,1.10%,-0.54%,-5.77%,$6.0K,$66K,2023-07-12 16:34:59.597044
SOL,USDC,Wrapped SOL,$22.58,"7,107",$72K,602,0.15%,-0.08%,2.68%,2.83%,$14K,-,2023-07-12 16:34:59.598361
ATOM,OSMO,Cosmos Hub Atom,$9.20,"7,103",$1.2M,"1,859",0.01%,-0.12%,-0.14%,-0.32%,$33.5M,$2.69B,2023-07-12 16:34:59.599671
WMATIC,USDT,Wrapped Matic,$0.7405,"6,841",$1.5M,"3,801",0.10%,-0.14%,0.80%,0.07%,$1.6M,$103.1M,2023-07-12 16:34:59.600979
WETH,USDC,Wrapped Ether,"$1,906.43","6,745",$77K,"5,664",0.84%,2.94%,1.06%,1.70%,$9.9K,$42.0M,2023-07-12 16:34:59.602182
FTC,USDT,FTC,$114.84,"6,640",$2.5M,"5,227",-0.02%,-0.65%,-2.61%,-4.13%,$54.8M,$96.47B,2023-07-12 16:34:59.603388
ETH,USDT,Ethereum Token,"$1,898.38","6,633",$469K,"5,227",0.03%,0.26%,0.26%,1.40%,$3.8M,$1.14B,2023-07-12 16:34:59.604595
ZETA,WETH,Zeta,$0.0001716,"6,533",$173,"5,145",-1.12%,-0.97%,-10.87%,-10.66%,$742,$360K,2023-07-12 16:34:59.605826
Dede,WETH,Dede,$0.06338,"6,526",$6.9M,"2,113",6.40%,-17.79%,-32.23%,411%,$262K,$4.2M,2023-07-12 16:34:59.607091
WBTC,USDC,(PoS) Wrapped BTC,"$30,681.67","6,236",$1.3M,498,0%,-0.24%,-0.08%,0.45%,$480K,$178.4M,2023-07-12 16:34:59.608358
testUSDC,WETH,TEST_USDC,$0.00002261,"6,122",$1.4K,"1,601",-1.65%,2.32%,16.87%,-68.61%,$383,$452.2M,2023-07-12 16:34:59.609572
WBNB,BUSD,Wrapped BNB,$246.25,"6,063",$4.2M,"4,217",0.02%,-0.41%,-0.75%,-0.08%,$7.6M,$565.4M,2023-07-12 16:34:59.610783
APT,USDC,Aptos Coin,$7.01,"5,879",$186K,"1,934",0.03%,-0.43%,-0.59%,0.59%,$1.1M,-,2023-07-12 16:34:59.611937
USDt,USDC,TetherToken,$1.00,"5,854",$3.0M,"3,765",0%,0%,0%,-0.01%,$375K,$651.1M,2023-07-12 16:34:59.613094
USDC,WFTM,USD Coin,$0.4192,"5,819",$2.2M,"2,365",-1.44%,-6.29%,-28.53%,-25.88%,$2.6M,$76.2M,2023-07-12 16:34:59.614246
WETH,USDC,Wrapped Ether (Wormhole),"$1,895.49","5,793",$217K,209,0.12%,0.02%,0.69%,1.44%,$111K,$38.6M,2023-07-12 16:34:59.615403
WETH,USDC,Wrapped Ether,"$1,895.28","5,783",$1.1M,"3,816",0.09%,0.11%,0.30%,1.31%,$114K,$583.5M,2023-07-12 16:34:59.616555
MONA,WETH,MonaCoin,$0.01187,"5,716",$4.6M,"1,727",2.93%,-17.33%,-23.20%,"60,599%",$126K,$1.1M,2023-07-12 16:34:59.617708
VARA,WKAVA,Vara,$0.04243,"5,520",$24K,87,0.47%,0.42%,-2.40%,20.28%,$350K,$3.2M,2023-07-12 16:34:59.618855
